question_id,question_preview,config_method,config_k,config_dense_weight,config_bm25_weight,latency_ms,num_chunks,top_score,avg_score,min_score,max_score
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",dense,3,,,918.25,3,0.7599,0.7160,0.6894,0.7599
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",dense,5,,,627.13,5,0.7599,0.7035,0.6844,0.7599
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",dense,10,,,669.09,10,0.7599,0.6888,0.6722,0.7599
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",bm25,3,,,2.30,3,18.3218,16.0051,14.1619,18.3218
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",bm25,5,,,3.89,5,18.3218,14.0428,9.5895,18.3218
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",bm25,10,,,2.25,10,18.3218,11.2687,8.0502,18.3218
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",hybrid,3,0.7,0.3,383.00,3,0.0164,0.0160,0.0156,0.0164
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",hybrid,5,0.7,0.3,401.70,5,0.0164,0.0150,0.0125,0.0164
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",hybrid,10,0.7,0.3,391.92,10,0.0164,0.0128,0.0101,0.0164
q001,"Quais os objetivos da Lei nº 15.270, de 2025?",hybrid,5,0.5,0.5,371.96,5,0.0164,0.0149,0.0126,0.0164
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",dense,3,,,364.18,3,0.7716,0.7306,0.7058,0.7716
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",dense,5,,,661.96,5,0.7716,0.7150,0.6818,0.7716
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",dense,10,,,670.11,10,0.7716,0.6973,0.6780,0.7716
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",bm25,3,,,3.78,3,18.3218,16.0051,14.1619,18.3218
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",bm25,5,,,2.88,5,18.3218,13.6915,10.1966,18.3218
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",bm25,10,,,2.86,10,18.3218,11.3335,8.1368,18.3218
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",hybrid,3,0.7,0.3,415.83,3,0.0164,0.0160,0.0155,0.0164
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",hybrid,5,0.7,0.3,399.36,5,0.0164,0.0144,0.0109,0.0164
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",hybrid,10,0.7,0.3,404.15,10,0.0164,0.0124,0.0101,0.0164
q002,"Quais os principais elementos contidos na Lei nº 15.270, de 2025?",hybrid,5,0.5,0.5,382.28,5,0.0164,0.0137,0.0079,0.0164
q003,"A partir de qual data a Lei nº 15.270, de 2025, deve ser aplicada?",dense,3,,,616.43,3,0.7645,0.7326,0.6986,0.7645
q003,"A partir de qual data a Lei nº 15.270, de 2025, deve ser aplicada?",dense,5,,,682.43,5,0.7645,0.7167,0.6884,0.7645
q003,"A partir de qual data a Lei nº 15.270, de 2025, deve ser aplicada?",dense,10,,,393.56,10,0.7645,0.6967,0.6684,0.7645
q003,"A partir de qual data a Lei nº 15.270, de 2025, deve ser aplicada?",bm25,3,,,3.46,3,18.3218,16.7319,15.5317,18.3218
q003,"A partir de qual data a Lei nº 15.270, de 2025, deve ser aplicada?",bm25,5,,,3.82,5,18.3218,14.9472,10.9930,18.3218
q003,"A partir de qual data a Lei nº 15.270, de 2025, deve ser aplicada?",bm25,10,,,3.98,10,18.3218,12.6008,9.8670,18.3218
q003,"A partir de qual data a Lei nº 15.270, de 2025, deve ser aplicada?",hybrid,3,0.7,0.3,415.45,3,0.0164,0.0160,0.0157,0.0164
q003,"A partir de qual data a Lei nº 15.270, de 2025, deve ser aplicada?",hybrid,5,0.7,0.3,389.17,5,0.0164,0.0152,0.0133,0.0164
q003,"A partir de qual data a Lei nº 15.270, de 2025, deve ser aplicada?",hybrid,10,0.7,0.3,413.95,10,0.0164,0.0129,0.0103,0.0164
q003,"A partir de qual data a Lei nº 15.270, de 2025, deve ser aplicada?",hybrid,5,0.5,0.5,384.83,5,0.0164,0.0153,0.0137,0.0164
q004,A distribuição de lucros e dividendos para pessoa física residente será tributada pelo IRRF?,dense,3,,,390.83,3,0.7411,0.7303,0.7248,0.7411
q004,A distribuição de lucros e dividendos para pessoa física residente será tributada pelo IRRF?,dense,5,,,687.49,5,0.7411,0.7272,0.7208,0.7411
q004,A distribuição de lucros e dividendos para pessoa física residente será tributada pelo IRRF?,dense,10,,,379.85,10,0.7411,0.7198,0.7065,0.7411
q004,A distribuição de lucros e dividendos para pessoa física residente será tributada pelo IRRF?,bm25,3,,,4.16,3,18.0806,15.7971,14.2538,18.0806
