question_id,method,k,alpha,latency_ms,num_chunks,top_score,score_normalized,rank_position,avg_score,median_score,std_score,min_score,max_score,score_range,total_chars,total_words
q001,dense,3,,799.48,3,0.759929,0.041396,4,0.716039,0.698806,0.038301,0.689382,0.759929,0.070546,926,163
q001,dense,5,,686.97,5,0.759929,0.041396,5,0.703457,0.689382,0.032098,0.684368,0.759929,0.07556,2711,485
q001,dense,10,,413.94,10,0.759929,0.041396,6,0.68882,0.680515,0.026403,0.672195,0.759929,0.087734,5183,857
q001,bm25,3,,3.24,3,18.321531,1.0,1,16.004167,15.530664,2.120637,14.160306,18.321531,4.161225,3005,501
q001,bm25,5,,3.95,5,18.321531,1.0,2,14.041875,14.160306,3.256992,9.588741,18.321531,8.732791,4576,745
q001,bm25,10,,4.09,10,18.321531,1.0,3,11.272199,9.454168,3.653751,8.093154,18.321531,10.228377,10407,1728
q001,hybrid,3,0.7,386.65,3,0.001546,0.0,7,0.001542,0.001542,4e-06,0.001538,0.001546,8e-06,926,163
q001,hybrid,5,0.7,407.26,5,0.001546,0.0,8,0.00153,0.001538,1.8e-05,0.001502,0.001546,4.3e-05,4963,813
q001,hybrid,10,0.7,436.49,10,0.001546,0.0,9,0.001302,0.00129,0.000241,0.001069,0.001546,0.000477,8253,1331
q001,hybrid,5,0.5,403.19,5,0.001546,0.0,10,0.001529,0.001534,1.7e-05,0.001503,0.001546,4.3e-05,4963,813
q002,dense,3,,412.57,3,0.771604,0.042034,4,0.730588,0.714313,0.035772,0.705847,0.771604,0.065757,926,163
q002,dense,5,,642.27,5,0.771604,0.042034,5,0.71498,0.705847,0.033826,0.681808,0.771604,0.089796,3794,593
q002,dense,10,,681.04,10,0.771604,0.042034,6,0.697333,0.681569,0.02925,0.67795,0.771604,0.093654,8159,1270
q002,bm25,3,,3.02,3,18.321531,1.0,1,16.004167,15.530664,2.120637,14.160306,18.321531,4.161225,3005,501
q002,bm25,5,,2.79,5,18.321531,1.0,2,13.690609,14.160306,3.504979,10.195947,18.321531,8.125584,4110,689
q002,bm25,10,,2.75,10,18.321531,1.0,3,11.332611,10.021916,3.438961,8.136079,18.321531,10.185452,12369,2074
q002,hybrid,3,0.7,414.12,3,0.001546,0.0,7,0.001541,0.001542,4e-06,0.001537,0.001546,9e-06,926,163
q002,hybrid,5,0.7,409.88,5,0.001546,0.0,8,0.001443,0.001537,0.000205,0.001077,0.001546,0.000469,3348,593
q002,hybrid,10,0.7,389.2,10,0.001546,0.0,9,0.001257,0.001076,0.000238,0.001069,0.001546,0.000477,8501,1340
q002,hybrid,5,0.5,405.62,5,0.001546,0.0,10,0.00138,0.001533,0.000341,0.00077,0.001546,0.000775,4250,727
q003,dense,3,,418.54,3,0.764512,0.041647,4,0.732562,0.734534,0.032981,0.698639,0.764512,0.065873,747,135
q003,dense,5,,418.53,5,0.764512,0.041647,5,0.716685,0.698639,0.032038,0.68841,0.764512,0.076103,2735,482
q003,dense,10,,703.84,10,0.764512,0.041647,6,0.696686,0.68674,0.030449,0.668383,0.764512,0.096129,8831,1398
q003,bm25,3,,4.74,3,18.321531,1.0,1,16.73081,16.340236,1.435844,15.530664,18.321531,2.790867,3005,501
q003,bm25,5,,3.35,5,18.321531,1.0,2,14.960735,15.530664,2.787227,10.991755,18.321531,7.329776,4898,832
