question_id,method,k,alpha,latency_ms,num_chunks,top_score,avg_score,median_score,std_score,min_score,max_score,score_range,total_chars,total_words
q001,dense,3,,810.92,3,0.759929,0.716039,0.698806,0.038301,0.689382,0.759929,0.070546,935,165
q001,dense,5,,403.2,5,0.759929,0.703457,0.689382,0.032098,0.684368,0.759929,0.07556,2729,489
q001,dense,10,,646.39,10,0.759929,0.68882,0.680515,0.026403,0.672195,0.759929,0.087734,5228,867
q001,bm25,3,,2.3,3,18.321838,16.005141,15.531678,2.119995,14.161908,18.321838,4.15993,3005,501
q001,bm25,5,,2.26,5,18.321838,14.042774,14.161908,3.256884,9.589458,18.321838,8.73238,4576,745
q001,bm25,10,,2.33,10,18.321838,11.268654,9.454802,3.658018,8.050204,18.321838,10.271634,10416,1730
q001,hybrid,3,0.7,433.32,3,0.016393,0.015973,0.01595,0.000409,0.015576,0.016393,0.000817,935,165
q001,hybrid,5,0.7,405.42,5,0.016393,0.014963,0.015576,0.00155,0.012547,0.016393,0.003846,4981,817
q001,hybrid,10,0.7,374.78,10,0.016393,0.012772,0.011742,0.002538,0.010145,0.016393,0.006249,8289,1339
q001,hybrid,5,0.5,376.86,5,0.016393,0.014858,0.015207,0.001544,0.012579,0.016393,0.003814,4981,817
q002,dense,3,,659.73,3,0.771604,0.730588,0.714313,0.035772,0.705847,0.771604,0.065757,935,165
q002,dense,5,,637.74,5,0.771604,0.71498,0.705847,0.033826,0.681808,0.771604,0.089796,3812,597
q002,dense,10,,378.18,10,0.771604,0.697333,0.681569,0.02925,0.67795,0.771604,0.093654,8195,1278
q002,bm25,3,,2.78,3,18.321838,16.005141,15.531678,2.119995,14.161908,18.321838,4.15993,3005,501
q002,bm25,5,,3.57,5,18.321838,13.691469,14.161908,3.504926,10.196617,18.321838,8.12522,4110,689
q002,bm25,10,,5.57,10,18.321838,11.333485,10.02279,3.43893,8.136759,18.321838,10.185078,12369,2074
q002,hybrid,3,0.7,385.99,3,0.016393,0.015953,0.01595,0.000439,0.015516,0.016393,0.000878,935,165
q002,hybrid,5,0.7,383.56,5,0.016393,0.014415,0.015516,0.002284,0.010937,0.016393,0.005456,3375,599
q002,hybrid,10,0.7,409.24,10,0.016393,0.012434,0.010853,0.00259,0.010145,0.016393,0.006249,8546,1350
q002,hybrid,5,0.5,411.42,5,0.016393,0.013737,0.015107,0.003462,0.007937,0.016393,0.008457,4268,731
q003,dense,3,,651.13,3,0.764512,0.732562,0.734534,0.032981,0.698639,0.764512,0.065873,756,137
q003,dense,5,,656.25,5,0.764512,0.716685,0.698639,0.032038,0.68841,0.764512,0.076103,2753,486
q003,dense,10,,695.71,10,0.764512,0.696686,0.68674,0.030449,0.668383,0.764512,0.096129,8867,1406
q003,bm25,3,,3.77,3,18.321838,16.731898,16.342178,1.435326,15.531678,18.321838,2.79016,3005,501
q003,bm25,5,,3.52,5,18.321838,14.947187,15.531678,2.796049,10.992957,18.321838,7.328881,4907,834
q003,bm25,10,,3.66,10,18.321838,12.600802,10.826475,3.107097,9.867037,18.321838,8.454801,16767,2805
q003,hybrid,3,0.7,422.94,3,0.016393,0.016024,0.015978,0.000349,0.015699,0.016393,0.000694,935,165
q003,hybrid,5,0.7,414.95,5,0.016393,0.015203,0.015699,0.001239,0.013322,0.016393,0.003071,7886,1264
q003,hybrid,10,0.7,414.86,10,0.016393,0.012924,0.012217,0.002549,0.010294,0.016393,0.006099,12119,1942
q003,hybrid,5,0.5,397.36,5,0.016393,0.015277,0.015749,0.001093,0.013657,0.016393,0.002737,7886,1264
q004,dense,3,,415.86,3,0.741105,0.730254,0.72485,0.009398,0.724807,0.741105,0.016299,9954,1564
q004,dense,5,,670.85,5,0.741105,0.727205,0.724807,0.007954,0.720803,0.741105,0.020303,13914,2230
q004,dense,10,,687.02,10,0.741105,0.719837,0.719771,0.009998,0.706537,0.741105,0.034568,30000,4904
q004,bm25,3,,4.56,3,18.080628,15.797092,15.056845,2.01795,14.253803,18.080628,3.826826,8647,1402
q004,bm25,5,,3.64,5,18.080628,14.455458,14.253803,2.326173,12.433015,18.080628,5.647614,10818,1773
q004,bm25,10,,6.53,10,18.080628,13.317788,12.426096,1.96475,11.901108,18.080628,6.179521,30868,5163
q004,hybrid,3,0.7,451.67,3,0.016314,0.015904,0.015873,0.000396,0.015524,0.016314,0.00079,8647,1402
q004,hybrid,5,0.7,382.63,5,0.016314,0.015649,0.015524,0.000451,0.015186,0.016314,0.001128,16775,2711
q004,hybrid,10,0.7,373.68,10,0.016314,0.014223,0.015161,0.002095,0.010294,0.016314,0.00602,27120,4371
q004,hybrid,5,0.5,395.27,5,0.016261,0.015669,0.015772,0.00045,0.015165,0.016261,0.001096,13153,2171
q005,dense,3,,640.98,3,0.737484,0.729118,0.733671,0.011349,0.7162,0.737484,0.021284,10089,1595
q005,dense,5,,664.33,5,0.737484,0.722731,0.7162,0.01188,0.712448,0.737484,0.025036,15612,2699
q005,dense,10,,420.2,10,0.737484,0.714479,0.711109,0.011967,0.702299,0.737484,0.035185,29603,5033
q005,bm25,3,,5.8,3,23.55712,22.855073,23.404843,1.086776,21.603256,23.55712,1.953864,5913,977
q005,bm25,5,,5.84,5,23.55712,22.041389,21.603256,1.380689,20.435228,23.55712,3.121891,8473,1369
q005,bm25,10,,5.38,10,23.55712,20.120053,20.316218,2.353028,17.318568,23.55712,6.238552,28891,4731
q005,hybrid,3,0.7,391.37,3,0.016029,0.015618,0.015761,0.000499,0.015063,0.016029,0.000966,7955,1254
q005,hybrid,5,0.7,358.66,5,0.016029,0.015159,0.015063,0.000828,0.013895,0.016029,0.002134,13136,2148
q005,hybrid,10,0.7,385.12,10,0.016029,0.013419,0.013383,0.002054,0.010606,0.016029,0.005423,26744,4638
q005,hybrid,5,0.5,393.18,5,0.016133,0.014957,0.015155,0.000973,0.013496,0.016133,0.002637,13136,2148
q006,dense,3,,642.69,3,0.722669,0.713478,0.709759,0.008008,0.708006,0.722669,0.014663,5821,997
q006,dense,5,,393.37,5,0.722669,0.708592,0.708006,0.008765,0.701214,0.722669,0.021455,11016,1846
q006,dense,10,,396.34,10,0.722669,0.702893,0.700929,0.008515,0.694569,0.722669,0.0281,17086,2889
q006,bm25,3,,5.92,3,17.825986,17.667666,17.787116,0.24134,17.389895,17.825986,0.436091,7788,1303
q006,bm25,5,,5.01,5,17.825986,17.44743,17.389895,0.361303,16.972351,17.825986,0.853635,21657,3626
q006,bm25,10,,6.06,10,17.825986,15.996611,16.150028,1.58931,14.001149,17.825986,3.824838,26702,4510
q006,hybrid,3,0.7,407.31,3,0.015366,0.015068,0.014954,0.00026,0.014885,0.015366,0.000481,6278,1002
q006,hybrid,5,0.7,357.2,5,0.015366,0.014719,0.014885,0.000523,0.014041,0.015366,0.001325,12041,1973
q006,hybrid,10,0.7,401.98,10,0.015366,0.013532,0.013985,0.001618,0.011111,0.015366,0.004255,22718,3802
q006,hybrid,5,0.5,426.53,5,0.015659,0.014843,0.014786,0.000489,0.014391,0.015659,0.001268,13099,2149
q007,dense,3,,417.14,3,0.759503,0.750791,0.747598,0.007634,0.745272,0.759503,0.01423,8796,1437
